id_string,question,answers,label,context,chat_gptanswer,confidence,gpt3_answer
train_199,The pattern of reasoning in which one of the following is most similar to that in the argument above?,"[""This evening's television news reported that the cruise ship was only damaged in the fire last night, whereas the newspaper reported that it was destroyed. The television news is based on more recent information, so probably the ship was not destroyed."", ""The newspaper is generally more reliable than the television news, and the newspaper reported that the damage from last night's fire in the port was not severe. Ttherefore, the damage probably was not severe."", ""Among the buildings that are near the port is the newspaper's printing plant. Early editions of this morning's paper were very late. Ttherefore, the fire at the port probably affected areas beyond the port itself."", ""Neither today's newspapers nor this evening's television news mentioned a huge fire that was rumored to have happened in the port last night. Ttherefore, there probably was no such fire.""]",3,"Various mid-fourteenth-century European writers show an interest in games, but no writer of this period mentions the playing of cards. Nor do any of the mid-fourteenth-century statutes that proscribe or limit the play of games mention cards, though they do mention dice, chess, and other games. It is ttherefore likely that, contrary to what is sometimes claimed, at that time playing cards was not yet common in Europe.",0,80,2
train_209,"Which one of the following, if true, most helps to explain the facts cited above?","['There are more adolescent car thieves now than there were five years ago, and the sentences given to young criminals tend to be far more lenient than those given to adult criminals.', 'An upsurge in home burglaries over the last five years has required police departments to divert limited resources to investigation of these cases.', 'Although there are fewer car thieves now than there were five years ago, the proportion of thieves who tend to abandon cars before their owners notice that they have been stolen has also decreased.', 'Car alarms are more common than they were five years ago, but their propensity to be triggered in the absence of any criminal activity has resulted in people generally ignoring them when they are triggered.']",2,"The number of automobile thefts has declined steadily during the past five years, and it is more likely now than it was five years ago that someone who steals a car will be convicted of the crime.",1,75,0
train_222,The dialogue between Huang and Suarez most strongly supports the claim that they disagree about whether,"['mandatory sentences will deter most people who might otherwise commit violent crimes', 'the best way to reduce violent crime is to address the root causes of violence', 'people who commit violent crimes carefully consider how they will be punished for their crimes', 'severe penalties reduce the incidence of tax evasion']",0,"Huang: Most people who commit violent crimes do not carefully consider whether or how they will be punished for these crimes. And those who don' t commit violent crimes have no inclination to do so. Rather than impose harsh mandatory sentences, we should attend to the root causes of violence to reduce the rate of violent crime. Suarez: Would you say the same about nonviolent crimes, such as tax evasion? Surely mandatory penalties are a useful deterrent in these cases. At any rate, I am confident that mandatory sentences prevent most people who would otherwise physically harm others from doing so.",1,95,2
train_227,Which one of the following most accurately describes a logical flaw in the argument?,"['It takes for granted that no piece of legislation can ever satisfy all competing interest groups.', 'It concludes that a condition is necessary for a certain result merely from the claim that the condition leads to that result.', 'It draws a conclusion that is merely a disguised restatement of one of its premises.', 'It bases a conclusion about a particular case on a general principle that concerns a different kind of case.']",1,"If a piece of legislation is the result of negotiation and compromise between competing interest groups, it will not satisfy any of those groups. So, we can see that the recently enacted trade agreement represents a series of compromises among the various interest groups that are concerned with it, because all of those groups are clearly unhappy with it.",2,90,2
train_236,"Which of the following, if true, most strongly supports the psychologists' interpretation of the studies?","['Patrons who are under financial pressure from their credit-card obligations tend to tip less when presented with a restaurant bill on a tray with a credit-card logo than when the tray has no logo.', 'The effect noted in the studies is not limited to patrons who have credit cards.', 'In virtually all of the cases in the studies, the patrons who paid bills in cash did not possess credit cards.', 'In general, restaurant patrons who pay their bills in cash leave larger tips than do those who pay by credit card.']",0,Studies in restaurants show that the tips left by customers who pay their bill in cash tend to be larger when the bill is presented on a tray that bears a credit card logo. Consumer psychologists hypothesize that simply seeing a credit-card logo makes many creditcard holders willing to spend more because it reminds them that their spending power exceeds the cash they have immediately available.,1,80,1
train_245,"Which one of the following, if true, most helps to resolve the apparent discrepancy?","['When there are several traps in a garden, they each capture fewer rose beetles than any single trap would if it were the only trap in the garden.', ""The scent of a single trap's lure usually cannot be detected throughout a backyard garden by rose beetles."", 'The presence of any traps in a backyard garden will attract more rose beetles than one trap can catch, but several traps will not attract significantly more rose beetles to a garden than one trap will.', 'When there is only one trap in the garden, the plastic bag quickly becomes filled to capacity, allowing some rose beetles to escape.']",2,"A certain type of insect trap uses a scented lure to attract rose beetles into a plastic bag from which it is difficult for them to escape. If several of these traps are installed in a backyard garden, the number of rose beetles in the garden will be greatly reduced. If only one trap is installed, however, the number of rose beetles in the garden will actually increase.",0,95,3
train_276,Which one of the following is an assumption that the doctor's argument requires?,"['Other than medication, the only way to reduce blood pressure is by making lifestyle changes such as exercising more and avoiding fatty foods.', 'The side effects, if any, of exercising more and avoiding fatty foods in order to reduce blood pressure are less unhealthy than those of taking medication to reduce blood pressure.', 'If it is healthier to rely on a lifestyle change than on medication to reduce blood pressure, then that lifestyle change reduces blood pressure at least as effectively as medication does.', 'If an alternative to medication relieves a medical condition just as effectively as medication does, then it is always healthier to rely on that alternative than on medication to relieve that medical condition.']",1,"Doctor: Medication to reduce blood pressure often has unhealthy side effects. However, lifestyle changes such as exercising more and avoiding fatty foods reduce blood pressure just as effectively as taking medication does. Ttherefore, it is healthier to rely on these lifestyle changes than on medication to reduce blood pressure.",2,80,0
train_283,That homelessness is a serious social problem figures in the argument in which one of the following ways?,"['It summarizes a position the argument as a whole is directed toward discrediting.', 'It is compatible either with accepting the conclusion or with denying it.', 'It is required in order to establish the conclusion.', 'It sets out a problem the argument is designed to resolve.']",1,"Politician: Homelessness is a serious social problem, but further government spending to provide low-income housing is not the cure for homelessness. The most cursory glance at the real-estate section of any major newspaper is enough to show that there is no lack of housing units available to rent. So the frequent claim that people are homeless because of a lack of available housing is wrong.",3,90,3
train_300,"If the statements above are true, which one of the following must on the basis of them be true of woolly monkeys in colonies?","['If a female woolly monkey dominates a male of the species, the dominated male monkey is not an adult.', 'Some large adolescent male woolly monkeys dominate some smaller females of the species.', 'Size is the primary determinant of relations of dominance among woolly monkeys.', 'If a male woolly monkey is larger than a female of the species, that male will dominate that female.']",0,"Every adult male woolly monkey is larger than even the largest female woolly monkey. In colonies of woolly monkeys, any adult male will dominate any female.",2,95,3
train_350,Which of the following is an assumption on which the argument depends?,"['Buildings cannot be heated by solar energy rather than by oil or natural gas.', 'No fuel other than natural gas is expected to be used as a replacement for oil in Siduria.', 'In Siduria the rate of fuel consumption is rising no more quickly than the rate of fuel production.', 'All new homes that are being built will have natural-gas-burning heating systems.']",2,"In the past the country of Siduria has relied heavily on imported oil. Siduria recently implemented a program to convert heating systems from oil to natural gas. Siduria already produces more natural gas each year than it burns, and oil production in Sidurian oil fields is increasing at a steady pace. If these trends in fuel production and usage continue, ttherefore, Sidurian reliance on foreign sources for fuel should decline soon.",1,80,1
train_351,Which one of the following most accurately describes the role played in the dispute above by the proposition that frogs are definitely related to the species of fish from which human beings evolved?,"['It is offered as evidence for the contention that human beings must be descended from either lungfish or coelacanths.', 'Since it implies that human beings are not descended from lungfish, it is cited as evidence against the claim that humans are descended from lungfish.', 'It is an assumption that both parties to the dispute use as a starting point for their arguments about human evolution.', 'It implies that either a match of mitochondrial DNA or a match of hemoglobin between lungfish and coelacanths would show that human beings evolved from one of these two species.']",2,"Biologists agree that human beings evolved from a fish, but they disagree about which species of fish. Since biologists agree that frogs are definitely related to the species of fish from which human beings evolved, on the basis of a close match between the mitochondrial DNA of lungfish and that of frogs Dr. Stevens-Hoyt claims that this ancestor must be lungfish. Dr. Grover, on the other hand, contends that mitochondrial DNA evolves too rapidly to be a reliable indicator of relationships between species over long periods of time, and citing the close chemical match between the hemoglobin of coelacanths (a saltwater fish) and that of tadpoles, claims that human beings must be descended from coelacanths.",0,95,0
train_367,"Which one of the following, if assumed, allows the conclusion above to be properly drawn?","['Varieties of disease X requiring expensive special treatment have become less common during the past decade.', 'Of total medical expenditures, the percentage that is due to treatment of disease X increased during the past decade.', 'The total amount of money spent on treating disease X slowly declined during the past decade.', 'Most of the money spent on treating disease X during the last decade went to pay for nonstandard treatments.']",2,"In the past decade, a decreasing percentage of money spent on treating disease X went to pay for standard methods of treatment, which are known to be effective though they are expensive and painful. An increasing percentage is being spent on nonstandard treatments, which cause little discomfort. Unfortunately, the nonstandard treatments have proved to be ineffective. Obviously, less money is being spent now on effective treatments of disease X than was spent ten years ago.",0,90,3
train_374,"Which one of the following, if true, most helps to explain the failure of the strategy involving wolves?","['The presence of wolves in an area tends to discourage other predators from moving into the area.', 'Healthy moose generally consume more vegetation than do those that are diseased or injured.', 'Attempts to control moose populations in other national parks by introducing predators have also been unsuccessful.', 'Wolves often kill moose weakened by diseases that probably would have spread to other moose.']",3,"In a national park located on an island, a herd of moose was increasing in number and threatening to destroy species of native plants. Wolves were introduced to the island to reduce the herd and thereby prevent destruction of the vegetation. Although the wolves prospered, the moose herd continued to grow.",2,80,2
train_383,"Which one of the following provides the strongest reason for exercising caution when relying on the ""better"" clues mentioned above in order to discover whether someone is lying?","['A person telling the truth might be affected emotionally by being suspected of lying or by some other aspect of the situation.', 'A person who is lying might be aware that he or she is being closely observed for indications of lying.', 'Someone who is telling the truth might nevertheless have a past history of lying.', 'A practiced liar might have achieved great control over body posture and eye contact.']",0,"Recent research shows that hesitation, shifting posture, and failure to maintain eye contact are not reliable indicators in discriminating between those who are lying and those who are telling the truth. The research indicates that behavior that cannot be controlled is a much better clue, at least when the lie is important to the liar. Such behavior includes the dilation of eye pupils, which indicates emotional arousal, and small movements of facial muscles, which indicate distress, fear, or anger.",3,90,3
train_394,The reasoning in the argument is not sound because it fails to establish that,"['many governments with bad legal systems have poorly paid police forces', 'a well-paid police force is sufficient to guarantee a good legal system', 'some bad governments have good legal systems', 'a well-paid police force cannot be effective without a good legal system']",1,"Political theorist: The chief foundations of all governments are the legal system and the police force; and as there cannot be a good legal system where the police are not well paid, it follows that where the police are well paid there will be a good legal system.",0,95,3
train_439,Which one of the following most weakens the argument?,"['The current regulations are designed to prevent children from using nicotine.', 'The recent studies are not conclusive.', 'The additives in electronic cigarettes have not been tested as thoroughly as those in traditional cigarettes.', 'More smokers die from heart disease than cancer.']",0,"Electronic cigarettes should not be subject to the same regulation as other products that contain nicotine. Recent studies indicate that electronic cigarettes help people quit smoking by providing nicotine without the harmful tar and additive chemicals. Although electronic cigarettes also contain their own additives, they are much less harmful in the short-term than traditional cigarettes. People who smoke electronic cigarettes are ten times less likely to die from cancer than smokers of traditional cigarettes.",1,90,2
train_446,The conclusion of the argument follows logically if which one of the following is assumed?,"['Some people who are interested in the liberal arts do not care about money.', 'Only people not concerned with making money in the business world are interested in improving their intellects.', 'The only people not interested in making money in the business world are people who are interested in improving their intellects.', 'People with doctorates in the liberal arts are interested in employment in the business world.']",1,"People who have doctorates in the liberal arts are interested in improving their intellects. Companies, however, rarely hire people who are not concerned with the financial gain that can be obtained by hard work in the business world. As a result, companies rarely hire people who have doctorates in the liberal arts.",0,90,2
train_455,"All of the following statements, if true, weaken the argument, EXCEPT:","['The manufacturer of this particular make of car recalled a few models due to defects that potentially jeopardized the engine.', 'The total number of cars served per year by this shop has increased by 35% over the past three years.', 'Three years ago, statewide smog regulations had the effect of removing the oldest and most unreliable vehicles from the road.', 'A new shop uptown specializes in repairing cars of this make more than six years old, and most of these older cars are taken to this shop.']",1,"A certain auto repair shop services a particular make of car in the downtown region of a particular city. Three years ago, 4% of all repairs at this shop were not successful --- the mechanics were not able to restore the car to a drivable state. This year, only 2% of all repairs were not successful. Clearly, the mechanics training course, given over a year ago, has considerably increased the skill of mechanics at this particular shop, so that fewer cars are beyond their ability to repair.",2,90,3
train_468,Which one of the following is an argument that contains flawed reasoning most similar to the flawed reasoning in the argument above?,"['Mark will go on a picnic today only if it does not rain. Susan will go on a picnic today only if Mark goes too. Since it is not going to rain today, both Mark and Susan will go on a picnic.', 'According to Sara, most children like pies. According to Robert, most children like blueberries. So if Sara and Robert are both right, it must be that most children like pies that contain blueberries.', ""The majority of customers who regularly eat at this restaurant always order both fish and stuffed mushrooms. Thus, fish and stuffed mushrooms must be the restaurant's most frequently ordered dishes."", 'Bill claims that soil can be damaged if it is tilled when it is too wet, and Sue claims that seeds planted in wet soil can rot. Ttherefore, if both claims are true, gardeners who till and plant their gardens when the soil is wet damage both their soil and their seeds.']",1,"In yesterday' s council election a majority of voters supported conservative candidates, and a majority of voters supported candidates who voted in favor of the antipollution act. Ttherefore, it must be that a majority of voters in yesterday' s council election supported conservative candidates who voted in favor of the antipollution act.",2,75,3
train_536,Which of the following is a consideration in favor of the company's implementing its plan to develop the prototype?,"['Selection and genetic manipulation allow plants of virtually any species to be economically bred to have a distinctive shade of color without altering their other characteristics.', 'There is a considerable degree of variation in shade of color between weeds of different species.', 'Farm laborers who are responsible for the manual weeding of crops carry out other agricultural duties at times in the growing season when extensive weeding is not necessary.', 'When crops are weeded manually, overall size and leaf shape are taken into account in distinguishing crop plants from weeds.']",0,A company plans to develop a prototype weeding machine that uses cutting blades with optical sensors and microprocessors that distinguish weeds from crop plants by differences in shade of color. The inventor of the machine claims that it will reduce labor costs by virtually eliminating the need for manual weeding.,1,80,1
train_549,"Which of the following, if true, provides the strongest support for the directors position?","['Production work on Thieves began before production work on The B/g Heist was started', 'The director of Thieves worked with the director of The Big Heist on several earlier projects', 'Before Thieves began production, its script had been circulating for several years among various film studios, including the studio that produced The Big Heist.', 'The characters and plot twists that are most similar in the two films have close parallels in many earlier films of the same genre.']",3,"Film Director: It is true that certain characters and plot twists in my newly released film The Big Heist are similar to characters and plot twists in Thieves, a movie that came out last year. Pointing to these similarities, the film studio that produced Thieves is now accusing me of taking ideas from that film. The accusation is clearly without merit. All production work on The Big Heist was actually completed months before Thieves was released.",0,90,2
train_598,"Which of the following, if true, most strongly supports the researchers' hypothesis?","['Most types of salmon that inhabit lakes spend part of the time in shallow water and part in deeper water.', 'Neither of the two populations of sockeyes has interbred with the native salmon.', 'When the native salmon in Lake Clearwater were numerous, they comprised two distinct populations that did not interbreed.', 'The total number of sockeye salmon in the lake is not as large as the number of native salmon had been many years ago.']",1,"Because the native salmon in Lake Clearwater had nearly disappeared, sockeye salmon were introduced in 1940. After being introduced, this genetically uniform group of sockeyes split into two distinct populations that do not interbreed, one inhabiting deep areas of the lake and the other inhabiting shallow areas. Since the two populations now differ genetically, some researchers hypothesize that each has adapted genetically to its distinct habitat.",2,80,0
train_610,"Which one of the following, if true, most helps to resolve the apparent discrepancy in the statements above?","['It is not uncommon for more than one judge to have an influence on the way a dissenting opinion is written.', 'The law is not to any great extent determined by dissenting opinions.', 'Judicial decisions issued by panels of judges are likely to be more widely read than are judicial decisions issued by a single judge who hears a case alone.', 'Unlike literary works, legal opinions rely heavily on the use of technical terminology.']",1,"The writing styles in works of high literary quality are not well suited to the avoidance of misinterpretation. For this reason, the writing in judicial decisions, which are primarily intended as determinations of law, is rarely of high literary quality. However, it is not uncommon to find writing of high literary quality in dissenting opinions, which are sometimes included in written decisions in cases heard by a panel of judges.",0,80,3
train_645,"Which one of the following, if assumed, allows the conclusion of the therapist's argument to be properly inferred?","['Anyone who is able to trust other people has a meaningful emotional connection to at least one other human being.', 'To avoid feeling isolated, it is essential to trust other people.', 'No one who is feeling isolated can feel happy.', 'Anyone who has a meaningful emotional connection to another human being can be happy.']",2,"Therapist: The ability to trust other people is essential to happiness, for without trust there can be no meaningful emotional connection to another human being, and without meaningful emotional connections to others we feel isolated.",3,95,1
train_665,The argument proceeds by,"['appealing to an aesthetic principle to defend the tastes that people have', ""appealing to a historical fact to support a claim about people's artistic preferences"", 'explaining a historical fact in terms of the artistic preferences of people', 'considering historical context to defend the artistic preferences of people']",1,"People may praise the talent of a painter capable of realistically portraying a scene and dismiss as artistically worthless the efforts of abstract expressionists, but obviously an exact replica of the scene depicted is not the only thing people appreciate in a painting, for otherwise photography would have entirely displaced painting as an art form.",0,75,3
train_695,Which one of the following statements is most strongly supported by the information above?,"['Disagreement among cultural anthropological theorists does not necessarily imply that their approaches are incompatible.', 'Cultural anthropological theorists who focus on issues of meaning overlook the humanity of their individual subjects.', 'Cultural anthropologists too often rely on a conception of human needs that excludes the notion of community.', 'Systems of behavior can be understood only by experiencing the environments to which they respond.']",0,"Cultural anthropological theory tends to fall into two camps. One focuses on everyday social behavior as a system that has developed in response to human needs in a given environment. The other rejects this approach, focusing on the systems of meanings by which thoughts, rituals, and mythology in a society are structured. Cultural anthropologists, however, should employ both approaches, and also attend to a third, often neglected dimension: the view of a community as a set of individuals whose actions constitute the actual stuff of everyday life.",1,95,3
train_757,"Which of the following, if true, most strengthens the argument?","['The population of orcas in the Aleutian Islands has declined since the 1980s.', 'Seals do not eat sea otters, nor do they compete with sea otters for food.', 'Most of the surviving sea otters live in a bay that is inaccessible to orcas.', 'The population of sea urchins, the main food of sea otters, has increased since the sea otter population declined.']",2,"Between 1980 and 2000 the sea otter population of the Aleutian Islands declined precipitously. There were no signs of disease or malnutrition, so there was probably an increase in the number of otters being eaten by predators. Orcas will eat otters when seals, their normal prey, are unavailable, and the Aleutian Islands seal population declined dramatically in the 1980s. Ttherefore, orcas were most likely the immediate cause of the otter population decline.",0,90,3
train_759,Jamal's and Jennifer's statements provide the most support for holding that they agree about the truth of which one of the following?,"['Corporations are currently making considerable profits.', 'The current priorities of many corporations are misplaced.', 'Statistical information tends to reflect the biases of its compilers.', 'The decline in wages is a worrisome economic trend.']",0,"Jamal: It' s incorrect to maintain that current data suggest a weakness in the economy. Stocks are paying higher dividends than ever and corporations' profits are very high. Yet you criticize corporations on the basis of wage data, which are the only data showing a decline. Jennifer: You' re right that only wage data show a decline, but those data are important because they show a shift of income from companies' workers to their shareholders. The statistics you cite mean little to the expanding numbers of workers finding it increasingly difficult to make a living.",3,100,3
train_787,"Which one of the following principles, if valid, most helps to justify the argument's reasoning?","['A practice is environmentally sound if it helps to protect rain forests that contribute large amounts of oxygen to the atmosphere.', 'A practice is not environmentally sound if it significantly reduces the amount of oxygen entering the atmosphere.', 'Using a product may be environmentally unsound even if the product is a renewable resource and contains no chemical additive.', 'If the environmental benefits of a practice outweigh the environmental costs, that practice can be legitimately considered environmentally sound.']",1,"Because dried peat moss, which is derived from sphagnum moss, contains no chemical additives and is a renewable resource, many gardeners use large amounts of it as a soil conditioner in the belief that the practice is environmentally sound. They are mistaken. The millions of acres of sphagnum moss in the world contribute more oxygen to the atmosphere than do all of the world' s rain forests combined, and the garden soil industry is depleting these areas much faster than they can renew themselves.",2,90,3
train_791,"Which one of the following, if true, most weakens the argument?","['Much of the gold dug from the ancient mine in western Asia was transported to faraway destinations.', 'Ancient gold artifacts were often constructed from gold taken from earlier artifacts.', 'The ancient mine tapped into a large underground deposit that also supplied nearby riverbeds with significant quantities of gold. GO ON TO THE NEXT PAGE', 'The ancient mine was first operated many centuries before the artifacts were constructed.']",2,"A scientific team compared gold samples from several ancient artifacts with gold samples from an ancient mine in western Asia . The ratios of the trace elements in these samples were all very similar, and they were unlike the trace-element ratios from any other known mine. It is ttherefore likely that the gold in the artifacts was dug from the ancient mine.",1,90,3
train_796,Which one of the following is most parallel in its reasoning to the flawed reasoning above?,"['Sulema says that, as a marketing director, she knows that no marketing directors like to waste time. And since most marketing directors are ethical, at least some people who enjoy wasting time are ethical people.', 'Charlotte says that, as a florist, she knows that no white roses are as fragrant as the most fragrant red roses. And, since most Kentucky roses are white, Kentucky roses are inferior to at least the best California red roses.', 'Rebecca says that, as a mother of three children, she knows that no mother wants her children to watch horror films. And, since most mothers are adults, at least some of the people who want children to watch horror films are children.', 'Cooper says that, as an experienced tailor, he knows that no cotton is as soft as the best silk. And since, most T-shirts are made of cotton, at least some T-shirts are not as soft as the best silk garments.']",2,"Grant says that, as an engineer, he knows that no engineer enjoys fishing. And, since most engineers are linear thinkers, at least some of the people who enjoy fishing are not linear thinkers.",3,70,3
train_885,The statements above most strongly support the conclusion that the animals died,"['in an unusually early winter', 'from starvation', 'roughly in midwinter', 'at roughly the same age']",2,"The teeth of some mammals show ""growth rings"" that result from the constant depositing of layers of cementum as opaque bands in summer and translucent bands in winter. Cross sections of pigs' teeth found in an excavated Stone Age trash pit revealed bands of remarkably constant width except that the band deposited last, which was invariably translucent, was only about half the normal width.",1,80,3
train_887,The reasoning in the passage is vulnerable to criticism on the ground that,"[""it is unreasonable to suppose that determination of the date and location of a document's printing or drawing can be made solely on the basis of the presence or absence of a single element in the ink used in the document"", 'if the technology that makes it possible to detect titanium in printing ink has only recently become available, it is unlikely that printers or artists in the fifteenth century would know whether their ink contained titanium or not', 'the discovery of titanium in the ink of the Vinland Map must have occurred before titanium was discovered in the ink of the Gutenberg Bible and the B-36 Bible', 'the results of the analysis are interpreted as indicating that the use of titanium as an ingredient in fifteenth-century ink both was, and was not, extremely restricted']",3,"Until recently it was thought that ink used before the sixteenth century did not contain titanium. However, a new type of analysis detected titanium in the ink of the famous Bible printed by Johannes Gutenberg and in that of another fifteenth-century Bible known as B-36, though not in the ink of any of numerous other fifteenth-century books analyzed. This finding is of great significance, since it not only strongly supports the hypothesis that B-36 was printed by Gutenberg but also shows that the presence of titanium in the ink of the purportedly fifteenth-century Vinland Map can no longer be regarded as a reason for doubting the map' s authenticity.",0,90,1
